id,tipo,nombre,geometry
1,Asentamiento precario,Asentamiento Agustin de Vedia,"POLYGON ((-58.42204221106864 -34.65615399993799, -58.42250926634963 -34.65576836367986, -58.42239257796305 -34.6557120630478, -58.42228555666961 -34.655776325998204, -58.42212024869863 -34.65569589665325, -58.42175051992004 -34.655952966830675, -58.42189633134547 -34.656121801040484, -58.42204221106864 -34.65615399993799))"
2,Asentamiento precario,Asentamiento Barrio Obrero,"POLYGON ((-58.487105831279315 -34.681232518463545, -58.487251495235654 -34.68122044207029, -58.48741420111854 -34.68120695259173, -58.48741565218051 -34.681047607530665, -58.487417166982816 -34.68088126233736, -58.48735260405636 -34.68066813759308, -58.487237434041305 -34.680646035457045, -58.48723670724595 -34.68061085429057, -58.4873383521081 -34.67987234977599, -58.48724579655326 -34.679832983884, -58.48710570075887 -34.680261603091566, -58.48704125614295 -34.68045853619179, -58.487049722889175 -34.68064618821915, -58.487105831279315 -34.681232518463545))"
3,Asentamiento precario,Asentamiento Bermejo,"POLYGON ((-58.48943240894358 -34.683159067065915, -58.48941591557502 -34.683156873151674, -58.488237575658424 -34.68256911391274, -58.48797735518069 -34.682419123950574, -58.487898796044874 -34.68236642204527, -58.487854598568994 -34.68230965795724, -58.48794784487341 -34.68222853485119, -58.487790696055285 -34.68201769537888, -58.48780050678438 -34.68199336212037, -58.48767773558399 -34.68183117815451, -58.487618784474535 -34.68168114698838, -58.48767272683731 -34.68149054112053, -58.48771192676517 -34.681247220381636, -58.48769191979651 -34.68118392722, -58.487105831279315 -34.681232518463545, -58.487105831279315 -34.681232518463545, -58.487200539227025 -34.681572723565424, -58.487331361600894 -34.681841570504844, -58.48744434358668 -34.68203388208382, -58.48722204576361 -34.6825760376582, -58.48822988545053 -34.682843856234626, -58.488205358680794 -34.68290468945704, -58.48719894022216 -34.68264941246222, -58.48716872180396 -34.68271325629383, -58.48767059907114 -34.6828316040552, -58.488414665185154 -34.68301664426604, -58.48872343857577 -34.683082018862514, -58.48897380858361 -34.68315880631062, -58.48937871398853 -34.683236971586645, -58.48943240894358 -34.683159067065915))"
4,Asentamiento precario,Asentamiento Biarritz y Espinosa,"POLYGON ((-58.47356101992888 -34.599515330964536, -58.47346154459428 -34.599732012455235, -58.47394580564655 -34.59981699504885, -58.47397818547746 -34.59982589144005, -58.47462429106235 -34.59994875718821, -58.47563509406923 -34.60014832397814, -58.47565786224628 -34.60010312304909, -58.47509454578141 -34.59997386050819, -58.474523635580596 -34.59981571916148, -58.474050184867856 -34.59965527707674, -58.47403471562973 -34.59965003484904, -58.47403407366632 -34.59965203190257, -58.4740088028936 -34.599646941770885, -58.47356101992888 -34.599515330964536))"
5,Asentamiento precario,Asentamiento Bosch,"POLYGON ((-58.37839044799958 -34.656502181746156, -58.37827359058617 -34.656474273586305, -58.37809641476446 -34.657117695302205, -58.378232120191 -34.65714405292803, -58.37839044799958 -34.656502181746156))"
6,Asentamiento precario,Asentamiento Calle Bartolome Mitre,"POLYGON ((-58.41350492478451 -34.60884356229719, -58.412943682967935 -34.608820913608135, -58.41292447982881 -34.609188566501764, -58.41348572141978 -34.609220182722886, -58.41350492478451 -34.60884356229719))"
7,Asentamiento precario,Asentamiento Charlone,"POLYGON ((-58.465314386412786 -34.58055261640843, -58.465494416884944 -34.58054288579401, -58.46557849555853 -34.580538341265175, -58.46556065301859 -34.580167153716054, -58.46529297483158 -34.58018142884175, -58.465314386412786 -34.58055261640843))"
8,Asentamiento precario,Asentamiento Chascomus 4400,"POLYGON ((-58.48629094513793 -34.64510574035477, -58.4860486665512 -34.64521501724131, -58.486467283371866 -34.645515324911514, -58.48663246387117 -34.645406061974235, -58.48629094513793 -34.64510574035477))"
9,Asentamiento precario,Asentamiento Don Pedro de Mendoza y Villarino,"POLYGON ((-58.37067618954275 -34.65264403912436, -58.37028728805881 -34.65254041127077, -58.3702255491258 -34.65272898573925, -58.370223553343756 -34.65273882534151, -58.37059856765777 -34.6528375222761, -58.37067618954275 -34.65264403912436))"
10,Asentamiento precario,Asentamiento El Campito,"POLYGON ((-58.42255517193037 -34.64833565494298, -58.422846791985585 -34.64810901209456, -58.422298236355346 -34.64776871896289, -58.421680840454165 -34.64793856477443, -58.42193782865161 -34.64839213209155, -58.42255517193037 -34.64833565494298))"
